district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Peddapalli,Kamanpur,Kannala,M/s. M A TRADERS BRICK PLANT,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,8,15/10/2020,20/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Khazipur,SAI GANESH GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.53,20,31/10/2020,20/11/2020,COMMENCED OPERATIONS,Yes,General
Bhadradri Kothagudem,Palwancha,Palwancha,M/s Sri Sainath Enterprises,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.2735,8,17/11/2020,20/11/2020,YET TO START CONSTRUCTION,Yes,General
Khammam,Nelakondapalle,Nelakondapalle,SHIVA GANGA MINERAL WATER PLANT,Mineralized water,Beverages,0.066,4,11/11/2020,20/11/2020,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Kothur,Thimmapur,M/S. KARACHI BAKERY INTERNATIONAL PRIVATE LIMITED,Bakery /confectionery /sweets products (with production capacity <l tpd (with gas or electrical oven),Food Processing,0.25,5,13/11/2020,20/11/2020,INITIAL STAGE,Yes,General
Siddipet,Mulug,Banda Mailaram,LORVEN SEED PRO PACK,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.1,0,07/11/2020,20/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Rangareddy,Kothur,Theegapur,BHAVANI METAL GRINDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.198,4,12/11/2020,20/11/2020,ADVANCED STAGE,Yes,OBC
Narayanpet,Narayanpet,Bhairamkonda,M/S SUGURESHWARA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.0034,15,16/11/2020,19/11/2020,INITIAL STAGE,Yes,General
Medchal,Qutubullapur,Jeedimetla,RAJ CLASSIC FOODS LTD,Bakery and confectionery units with production capacity> 1 TPD. ( Withovens / furnaces),Food Processing,0.8034,100,07/10/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Jagtial,Dharmapuri,Velgonda,M/S. VEENA PURIFIED WATER PLANT,Mineralized water,Beverages,0.11,4,06/11/2020,19/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Jagtial,Raikal,Kistampet,M/S. SHARATH WELDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.05,2,10/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,OBC
Kamareddy,Madnoor,Keroor,M/s SARASWATI MODERN BINNY RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.9439,10,03/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Mulugu,Mulugu,Mallampalle,SAHYAADRI FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,6,09/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Mulugu,Venkatapur,Palampeta,NAGARJUNA CONSTUCTIONS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4,13/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,SC
Peddapalli,Peddapalle,Nittur,VEERANJANEYA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.4,10,06/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Pragathinagar,SANTO RIGHELLO PRIVATE LIMITED,Pharmaceuticals,Pharmaceuticals and Chemicals,0.25,3,14/09/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Rural,Shayampet,Gatlakaniparthy,ABHAYANJANEYA POULTRY,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1,4,11/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Medchal,Pudoor,TAIGA READY MIX,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,20,29/10/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Turkapally,Danisco (India) Pvt. Limited,Pharmaceuticals,Pharmaceuticals and Chemicals,0.001,0,12/09/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Turkapalle,Performance Specialty Products India Pvt Limited,Pharmaceuticals,Pharmaceuticals and Chemicals,0.6,20,15/09/2020,19/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Khazipur,SHREE RAM STONES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,2.5,15,30/10/2020,19/11/2020,ADVANCED STAGE,Yes,OBC
Yadadri,Choutuppal,Dandumalkapur,SRI OM KALI ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.9901,12,29/10/2020,19/11/2020,INITIAL STAGE,Yes,OBC
Yadadri,Choutuppal,Dandumalkapur,DYNAMIC MECHANICAL ENGINEERS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,3.3546,19,29/10/2020,19/11/2020,INITIAL STAGE,Yes,OBC
Nalgonda,Miryalaguda,Yadgarpalle,M/s. ANANTHA SAI RICE INDUSTRIES,Parboiled Rice Mills,Food Processing,2.12,45,29/09/2020,19/11/2020,INITIAL STAGE,Yes,General
Warangal - Rural,Sangam,Lohitha,"M/s ALLAHSURI MODERN RICEMILL.H.No.3-28,LOHITHA(V)",Rice mill (Rice hullers only),Food Processing,0.34,9,16/11/2020,19/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mancherial,Tandur,Boyapalle,M/s TIRUMALA CEMENT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2,6,07/11/2020,18/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Sangareddy,Patancheru,Pashamylaram,VARDHAMAN SOLVENTS AND CHEMICALS PRIVATE LIMITED,"Industries engaged in recycling / reprocessing/ recovery/reuse of Hazardous Waste underschedule iv of HAY( Nil, Htlz TBM) rules, 2008 - Items namely - Spent catalyst containing nickel, cadmium, Zinc, copper, arsenic, vanadium and cobalt,",Pharmaceuticals and Chemicals,0.4,5,11/10/2020,18/11/2020,Yet to Start Construction,Yes,General
Mahabubabad,Nellikudur,Narasimhulagudem,VIJAYALAXMI POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.05,4,10/11/2020,18/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Mahabubabad,Nellikudur,Nellikudur,JYOTHI KRISHNA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.041,5,06/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,OBC
Warangal - Urban,Warangal,Warangal,"M/s MOHAMMAD SAMEER PASHA,AUTO GARAGE WORKS,",Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.212,2,23/10/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Tallada,Mallaram,M/s. IDL Explosives Limited,Petrochemicals Manufacturing (including processing ofEmulsions of oil and water ),Pharmaceuticals and Chemicals,0.41,10,25/07/2020,18/11/2020,ADVANCED STAGE,Yes,General
Adilabad,Ichoda,Kokasmannur,M/S AMAIR POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.11,3,17/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,OBC
Mancherial,Bellampalle,Bellampalle,M/s LAKSHMI GANESH FRUITS RIPENING PLANT,Food and food processing including fruits and vegetable processing,Food Processing,0.15,5,07/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Jagtial,Jagtial,Thimmapur,M/S. SRI SAI LAXMI INDUSTRIES,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.05,4,06/11/2020,18/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Jagtial,Gollapalle,Vengumatla,M/s. VENKATA RAMANA CEMENT BRICKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.0975,8,07/11/2020,18/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Jagtial,Jagtial,Thippannapet,M/S INDIAN TEAK SAWMILL & TIMBER DEPOT,Saw mills,Wood and Leather,0.15,4,07/11/2020,18/11/2020,ADVANCED STAGE,Yes,OBC
Karimnagar,Jammikunta,Madipalli,M/s. MANICHANDANA CEMENT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.235,8,04/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,OBC
Nirmal,Laxmanchanda,Kanakpur,M/S. RAJA RAJESHWARA OIL MILL,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.06,3,12/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. PRASHANTH FABRICATIONS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,09/11/2020,18/11/2020,INITIAL STAGE,Yes,General
Medchal,Qutubullapur,Jeedimetla,VENKATASWAMY INDUSTRIES UNIT-II,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.12,5,13/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Suryapet,Ananthagiri,Gondriyala,M/s. SAI SRI VENKATESWARA GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.795,15,06/11/2020,18/11/2020,ADVANCED STAGE,Yes,General
Vikarabad,Tandur,Tandur,ANNAPURNA INDUSTRY,Flour mills (dry process),Food Processing,0.1407,2,13/11/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. PRASHANTH ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,4,10/11/2020,18/11/2020,INITIAL STAGE,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. GNR ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,09/11/2020,18/11/2020,INITIAL STAGE,Yes,General
Vikarabad,Kulkacharla,Bandayelkacherla,SRI VENKATA SAI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.16,4,28/10/2020,18/11/2020,COMMENCED OPERATIONS,Yes,General
Sircilla,Sircilla,Sircilla,M/s. SARASWATHI SIZING WORKS,"Yarn / Textile processinginvolving any effluent/emission generating processes includingbleaching, dyeing, printing andcolouring",Textiles,0.2325,12,01/11/2020,17/11/2020,INITIAL STAGE,Yes,OBC
Sircilla,Sircilla,Sircilla,M/s. B.GOPAL TEXTILE,"Yarn / Textile processinginvolving any effluent/emission generating processes includingbleaching, dyeing, printing andcolouring",Textiles,0.1825,8,30/10/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Konaraopeta,Mamidipalle,M/s. MAHALAXMI CEMENT BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,03/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Siddipet,Bejjanki,Vadlur-Begumpet,M/s. SRI BALAJI POULTRY FARM & GODOWN SHED,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.495,20,23/10/2020,17/11/2020,ADVANCED STAGE,Yes,OBC
Mancherial,Vemanpalle,Suraram,M/s SHIVA SAI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.7252,10,07/10/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Kamareddy,Domakonda,Domakonda,KAMMARI RAMESH,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.015,1,09/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Warangal - Urban,Inavolu,KONDAPARTHY,SRI VENKATASAI CEMENT BRICK INDUSTRIES,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.0742,4,12/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Bhadradri Kothagudem,Palwancha,Pandurangapuram,GKR POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1,5,10/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Bhadradri Kothagudem,Tekulapalle,Gollapalle,VAJRA CEMENT WORKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,10,02/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,SC
Sangareddy,Jinnaram,Bollaram,SNEHAA PHARMA CHEMICALS,Organic Chemicalsmanufacturing,Pharmaceuticals and Chemicals,2.657,35,08/10/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Nizamabad,Balkonda,Bussapur,SWADHEEKSHA DRINKING WATER PLANT,Mineralized water,Beverages,0.05,2,09/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Khammam,Wyra,Somavaram,BANDELA POUL FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.2556,5,11/11/2020,17/11/2020,YET TO START CONSTRUCTION,Yes,SC
Khammam,Konijerla,Thummalapalle,GUNDLA PICHAIAH POULTRY,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.095,2,07/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Medchal,Pudoor,TIGA REDIMIX,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,10,10/11/2020,17/11/2020,Yet to Start Construction,Yes,General
Vikarabad,Bomraspet,Nagireddipalle,SRI SAI LAXMI METAL INDUSTRY,Stone crushers,Granite and Stone Crushing,0.8,9,03/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. Q 100 ENGINEERING COMPANY,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,6,04/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,PAVANI POWER SYSTEMS PRIVATE LIMITED,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.2147,11,03/11/2020,17/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Jannaram,Indhanpalle,M/s SAHARSHA FLY SH BRICKS INDUSTRIES,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,6,03/11/2020,16/11/2020,COMMENCED OPERATIONS,Yes,OBC
Nizamabad,Bodhan,Bodhan (R),M/S INDIAN FLOUR MILL,Flour mills (dry process),Food Processing,0.03,1,06/11/2020,16/11/2020,COMMENCED OPERATIONS,Yes,OBC
Jangaon,Kodakandla,Mondrai,SURESH POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1,4,04/11/2020,16/11/2020,COMMENCED OPERATIONS,Yes,ST
Jangaon,Zaffergadh,Zaffergadh,SRI LAXMI NARASIMHA FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4,05/11/2020,16/11/2020,COMMENCED OPERATIONS,Yes,OBC
Bhupalpally,Malharrao,Kondampet,VENKATESHWARA INDUSTRIES,Parboiled Rice Mills,Food Processing,5.9831,50,10/11/2020,15/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Rural,Duggondi,Chalparthi,M/s NEW MUBARAK AGRO INDUSTRIES,Parboiled Rice Mills,Food Processing,0.5,30,09/11/2020,15/11/2020,COMMENCED OPERATIONS,Yes,General
Warangal - Rural,Shayampet,Taharapur,M/s SRI SRINIVASAM INDUSTRIES,Parboiled Rice Mills,Food Processing,0.65,20,11/11/2020,15/11/2020,COMMENCED OPERATIONS,Yes,ST
Asifabad,Dahegaon,Kunchavelli,M/S.SRI NIDHI MODERN RICE MILL,Rice mill (Rice hullers only),Food Processing,0.11,9,13/11/2020,15/11/2020,COMMENCED OPERATIONS,Yes,General
Vikarabad,Peddemul,Vagulapur,PATLOLLA SANGA REDDY,Flour mills (dry process),Food Processing,0.05,2,12/11/2020,14/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Dundigal Gandimaisamma,Dommara pochampally,OPEN THOUGHT RETAIL PRIVATE LIMITED,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.2,10,06/11/2020,14/11/2020,COMMENCED OPERATIONS,Yes,General
Siddipet,Cherial,Chunchankota,MADDUR AGRO INDUSTRIES,"Slaughter house (as pernotification S.O.270(E)dated26.03.2001)and meat processingindustries, bone mill, processing of animal horn, hoofs and other body parts",Food Processing,0.225,30,24/09/2020,14/11/2020,YET TO START CONSTRUCTION,Yes,General
Medchal,Dundigal Gandimaisamma,Dommara pochampally,ANVITA NUTRI VALUE IMPORTS PRIVATE LIMITED,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.15,8,04/11/2020,14/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Uppal,Uppal,MONTEPACK PVT LTD (1ST FLOOR),Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.24,20,11/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Medchal,Medchal,VOW BUILDTECH PRIVATE LIMITED,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.708,15,13/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Medchal,Gundlapochampally,M/S BHARADIA AND SONS,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.143,0,12/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Mancherial,Bhimini,Kannepalle,M/s SURYA FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,03/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,OBC
Suryapet,Chivvemla,Chivvemla,"M/s. Balaji AAC Light Weight Bricks,",Automobile Manufacturing(integrated facilities),Automobile,0.21,10,10/10/2020,13/11/2020,COMMENCED OPERATIONS,Yes,ST
Jagtial,Metpalli,Peddapur,JYOTHI WOOD BASED INDUSTRY,Saw mills,Wood and Leather,0.111,4,03/11/2020,13/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Warangal - Urban,Hasanparthy,Bhimaram (Rural),M/S. SRI VENGAMAMBA FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,3,05/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Mulugu,Mangapet,Narsapur (Mangapet),M/S. SRI VENKATESHWARA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.2,8,04/11/2020,13/11/2020,YET TO START CONSTRUCTION,Yes,OBC
Warangal - Urban,Khila Warangal,STAMBAMPELLY,M/s. Tawakkal Industries,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.35,3,03/11/2020,13/11/2020,YET TO START CONSTRUCTION,Yes,General
Medchal,Kukatpally,Kukatpally,M/S. PARASNATH INDUSTRIES,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.25,10,06/11/2020,13/11/2020,INITIAL STAGE,Yes,General
Medchal,Kukatpally,Kukatpally,M/S. SRI SIDDHI VINAYAK INDUSTRIES,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.25,18,06/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Dundigal,SOLIDBUILD CONTRACTORS AND SUPPLIERS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,5,04/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Dundigal,J S SOLID BRICKS SUPPLY,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,4,04/11/2020,13/11/2020,COMMENCED OPERATIONS,Yes,General
Sircilla,Sircilla,Peddur,M/s. PRABHU ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1175,8,30/10/2020,12/11/2020,COMMENCED OPERATIONS,Yes,SC
Sircilla,Boinpalle,Vilasagar,M/s. KRUPA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1805,8,30/10/2020,12/11/2020,COMMENCED OPERATIONS,Yes,OBC
Medchal,Shamirpet,Shamirpet,"M/s.Bharat Biotech International Ltd.,",Pharmaceuticals,Pharmaceuticals and Chemicals,5.7,1070,29/08/2020,12/11/2020,Yet to Start Construction,Yes,General
Mahabubabad,Thorrur,Kantaipalem,SIRIPATI BROTHERS BRICKS CUM PARKING TILESINDUSTRY,Brickfields ( excluding fly ash brick manufacturing using lime process),"Cement, Cement & Concrete Products, Fly Ash Bricks",0.13,5,02/11/2020,12/11/2020,YET TO START CONSTRUCTION,Yes,ST
Rangareddy,Kondurg,Kondurg (E),Scan Energy and Power Limited,Steel and steel products using various furnaces like blast furnace open hearth furnace/ induction furnace/ arc furnace/ submerged arc furnace /basic oxygen furnace/hot rolling reheated furnace,Engineering,5.0853,35,22/09/2020,12/11/2020,COMMENCED OPERATIONS,Yes,General
Sangareddy,Sangareddy,Indrakaran,APLRC2,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,5.0,200,19/10/2020,12/11/2020,Yet to Start Construction,Yes,General
Karimnagar,Karimnagar,Asifnagar,GEMINI GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.4995,15,13/10/2020,12/11/2020,INITIAL STAGE,Yes,General
Warangal - Urban,Khila Warangal,URUS,HANUMAN BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,5,31/10/2020,12/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Mudigonda,Medapalli,RAMAKRISHNA POULTRY,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.1625,2,07/11/2020,12/11/2020,ADVANCED STAGE,Yes,General
Yadadri,Choutuppal,Dandumalkapur,LAKSHMI INDUSTRIES,Biscuits trays etc from rolled PVC sheet (using automatic vacuum forming machines),Food Processing,0.5625,6,01/10/2020,12/11/2020,YET TO START CONSTRUCTION,Yes,General
Medak,Manoharabad,Kallakal,Siritecon,"Potable alcohol ( IMFL) by blending,bottling of alcohol products",Beverages,67.5827,125,02/11/2020,12/11/2020,Yet to Start Construction,Yes,General
Nagarkurnool,Kodair,Singaipalle,M/S Sri Laxmi Narasimha Rice Industries,Rice mill (Rice hullers only),Food Processing,1.2068,10,21/08/2020,12/11/2020,Yet to Start Construction,Yes,General
Warangal - Urban,Khaazipet,Rampur,M/s Hanuman Industries Binny Rice&Paraboiled Rice,Parboiled Rice Mills,Food Processing,0.9,30,04/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Khammam (Rural),Arempula,NAGUL MEERA PURIFIED DRINKING WATER,Mineralized water,Beverages,0.07,4,04/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,OBC
Bhupalpally,Mahadevpur,Suraram,M/s.Jai Hanuman Poultry Farm,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.15,0,17/10/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Khammam,Nelakondapalle,Cheruvu Madharam,M/s. MADHU GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.9053,12,02/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Karimnagar,Rekurthi,M/S. SRI RAMANJANEYA WOOD WORKS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.12,6,25/09/2020,11/11/2020,COMMENCED OPERATIONS,Yes,OBC
Nalgonda,Kangal,Mylaram,M/s. Sree Venkata Sai Laxmi Narsimha Rice Mill,Rice mill (Rice hullers only),Food Processing,0.26,2,09/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Rangareddy,Kondurg,Agiryal,IKA HATCHERY,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,1.3131,30,16/09/2020,11/11/2020,ADVANCED STAGE,Yes,General
Nirmal,Nirmal,Kondapur,M/S. LAXMI GANAPATHI BRICKS WORKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,10,05/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Nirmal,Laxmanchanda,Boregaon,M/S. KOTESHWAR SPICES INDUSTRIES,Flour mills (dry process),Food Processing,0.0,3,05/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,SC
Mahbubnagar,Jadcherla,Gangapur,Sneha Farms Pvt Ltd,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.2,100,07/07/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Kamareddy,Tadwai,Yerrapahad,KONDI MALLESH,Flour mills (dry process),Food Processing,0.0025,1,04/11/2020,11/11/2020,COMMENCED OPERATIONS,Yes,OBC
Sangareddy,Sadasivpet,Chandapur,PRINCE PIPES AND FITTING LTD,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,240.0,700,08/09/2017,11/11/2020,Yet to Start Construction,Yes,General
Bhadradri Kothagudem,Mulkalapalle,Mulakalapally,SRI VENKATESWARA FLY ASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,10,27/10/2020,11/11/2020,ADVANCED STAGE,Yes,ST
Medchal,Dundigal Gandimaisamma,Doolapally,M/s. Verma Industries Unit-II,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,5,31/10/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. ULTIMATE SEALING INDUSTRIES,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,6,31/10/2020,11/11/2020,COMMENCED OPERATIONS,Yes,General
Yadadri,Valigonda,Sangam,DHAANYA LAKSHMI PARBOILED RICE INDUSTRIES.,Parboiled Rice Mills,Food Processing,4.5,40,31/10/2020,11/11/2020,INITIAL STAGE,Yes,General
Karimnagar,Karimnagar,Khazipur,SAINATH INDUSTRIES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.25,15,06/11/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
Karimnagar,Huzurabad,Kandugula,M/s. KANDUGULA FARMERS PRODUCER COMPANY LIMITED,Steeping and processing of grains,Food Processing,0.4541,12,13/05/2020,10/11/2020,COMMENCED OPERATIONS,Yes,General
